"행사명",장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,연락처,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),데이터기준일자
"스물두번째 백조무용제 및 무용단 정기공연",경주 서라벌 문화회관,무용,2016-12-17,2016-12-17,1800-2100,무료,경상북도,백조무용단,,기천문  산중 수련원,400,0원,6-80,,음식물 반입 금지,cafe.naver.com/dance8554/22,,Y,경상북도 경주시 북성로 59,,,,2016-12-01
"꿈의 콘서트",세종시 한솔동 주민센터 대강당,음악,2016-12-17,2016-12-17,1500-1600,무료,세종특별자치시,세종시소년소녀합창단,,,300,,6,,,http://,,Y,세종특별자치시  노을3로 85,,,,2016-12-01
"포항팝스오케스트라 정기연주회",포항청소년수련관,음악,2016-12-18,2016-12-18,1900-2100,무료,포항팝스오케스트라,포항팝스오케스트라,,,,,,,,,,,경상북도 포항시 북구 삼호로 533,,,,2016-12-01
"판소리 무용극 '적벽'",용인 마루홀,전통예술,2016-12-18,2016-12-18,1500-1600,유료,경기문화재단,예술공동체 술래,,한국문화예술위원회,286,"10,000",8,,,http://blog.naver.com/artsulrae,,Y,경기도 용인시 처인구 중부대로 1199,,,,2016-12-01
"제23회 대구교사국악관현악단 정기연주회",대구문화예술회관 비슬홀,전통예술,2016-12-18,2016-12-18,1600-1700,무료,대구교사국악관현악단,대구교사국악관현악단,,,300,,40,,,,,Y,대구광역시 남구 명덕로36길6,,,,2016-12-01
HATA 타악콘서트 - YETA,웃는얼굴아트센터 대공연장,전통예술,2016-12-18,2016-12-18,1930-2100,무료,대구문화재단,타악프로젝트그룹 HATA,,,500,,7,,,www.hata.kr,,Y,대구광역시 달서구 문화회관길 160,,,,2016-12-01
"제 11회 전주 아이리스 플룻 앙상블 정기 연주회",한국소리문화의전당 명인홀,음악,2016-12-18,2016-12-18,1700-1800,유료,전주아이리스플룻앙상블,전주아이리스플룻앙상블,,대한문화예술인협회,206,,,,,,,Y,전라북도 전주시 완산구 새터로 52-8,,,,2016-12-01
"陰陽相生(음양상생)",백운 아트홀,무용,2016-12-18,2016-12-18,-,무료,강원문화재단,한국 무용단 설아,,디자인 퍼플,80,,,,,choomlove@naver.com,,N,강원도 원주시 시청로 1,,,,2016-12-01
"금동훈 제1회타악연주회 - 도전",부산문화회관 소극장,전통예술,2016-12-18,2016-12-18,1700-1900,무료,부산문화재단,금동훈,,,212,무료,13,,,,,Y,부산광역시 남구 유엔평화로76번길 1,,,,2016-12-01
2016소보일타,소극장고도,전통예술,2016-12-18,2016-12-18,1800-1930,무료,대전문화재단,권은경,,"(사)대한민국전통문화예술원, 대전판소리고법보존회, 국악연주단 아리",100,,,,,http://cafe.daum.net/Jangdan,,N,대전광역시 중구 중앙로112번길 13,,,,2016-12-01
"제6회 피아체볼레 정기연주회",안동 문화 예술의 전당 백조홀,음악,2016-12-18,2016-12-18,1300-1900,무료,경상북도,피아체볼레 피아노연구회,,,276,,8,,,http://,,Y,경상북도 안동시 축제장길 66,,,,2016-12-01
"임남희 : 베토벤 피아노 소나타 전곡 연주 시리즈 Ⅲ",예술의전당 리사이틀홀,음악,2016-12-18,2016-12-18,2000-2140,유료,예인예술기획,예인예술기획,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
"그대 아프지 마오(가제)",우진문화공간,무용,2016-12-18,2016-12-18,1700-1800,유료,전라북도문화관광재단,얼라이브아트프로젝트,,,,,,,,http://,,,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
"제18회  강릉민족에술제",강릉시 작은공연장 단,전통예술,2016-12-19,2016-12-19,1900-2000,무료,강원문화재단,강원민예총 강릉지부,,,150,,,,,,,N,강원도 강릉시 경강로2046번길 5,,,,2016-12-01
"박대용 독창회",부산시 남구 유엔평화로 76번길 1 부산문화회관 대극장,음악,2016-12-19,2016-12-19,-,무료,부산문화재단,부산문화재단,,,,,,,,http://,,,부산광역시 남구 유엔평화로 76번길 1 부산문화회관 대극장,,,,2016-12-01
"창작뮤지컬 '바람이 사는 집'",울산광역시 중구 중구문화의전당,음악,2016-12-18,2016-12-18,1700-1830,무료,울산광역시,노래하는아이들뚜버기,,문화예술창작집단울림,500,,,,,,,,울산광역시 중구 종가로 405,,,,2016-12-01
"선진예술단체창작지원",광천문화회관,음악,2016-12-19,2016-12-19,-,무료,충남문화재단,충남문화재단,,,500,,,,,http://,,,충청남도 보령시 청소면 성연리 산36-1,,,,2016-12-01
"매헌 평화누리 음악제",예산문예회관,음악,2016-12-19,2016-12-19,1900-2030,무료,(사)매헌윤봉길월진회,(사)매헌윤봉길월진회,,"충남문화재단, 한국문화예술위원회",650,없음,0,해당없음,없음,http://www.woljin429.com,,Y,충청남도 예산군 덕산면 시량1길 12-7,,,,2016-12-01
"찾아가는 문화활동 송년음악회",합천문화예술회관 대공연장,음악,2016-12-19,2016-12-19,1900-2100,무료,경남문화예술진흥원,한국음악협회합천지부,,,,,,,,,,,경상남도 합천군 합천읍 동서로 166,,,,2016-12-01
"춘천시음악협회송년연주회",춘천문화예술회관,음악,2016-12-19,2016-12-19,1930-2100,무료,강원문화재단,춘천시음악협회,,,900,,,,,다음카페:춘천시음악협회,,Y,강원도 춘천시 효자상길5번길 13,,,,2016-12-01
"멋에 취하고 흥에 춤추고",순천시 건강문화센터 다목적홀,전통예술,2016-12-19,2016-12-19,1900-2000,무료,전라남도문화관광재단,퓨전국악 잽이,,,500,,,,,http://,,Y,전라남도 순천시 중앙로 232,,,,2016-12-01
"연극 크리스마스",J아트홀(울산광역시 중구 번영로 470 MG중울산 7층,연극,2016-12-20,2016-12-20,1930-2100,유료,울산광역시,울산광역시,,,244,"10,000원",,,,cafe.daum.net/igom,,Y,울산광역시 중구 번영로 470 MG중울산 7층,,,,2016-12-01
"코리아호른오케스트라 제9회 정기연주회",천마아트홀 챔버홀,음악,2016-12-20,2016-12-20,1930-2100,무료,경상북도,코리아호른오케스트라,,,,,,,,http://cafe.daum.net/hornbanggane,,,경상북도 경산시 대학로 280,,,,2016-12-01
"음악을 나누는 사람들",애명 노인마을 강당,음악,2016-12-20,2016-12-20,1100-1200,무료,음악을 나누는 사람들 조이엘,음악을 나누는 사람들 조이엘,,,100,,,,,,,,경상북도 안동시 북후면 광평2길 106-25,,,,2016-12-01
"하트시각장애인체임버오케스트라 제13회 정기연주회",예술의전당 IBK챔버홀,음악,2016-12-20,2016-12-20,-,유료,하트시각장애인체임버오케스트라,하트시각장애인체임버오케스트라,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
2016 손한별의 음악공방,부산문화회관 소극장,전통예술,2016-12-20,2016-12-20,1930-2040,무료,꿈꾸는청춘몽,꿈꾸는청춘몽,,,,,,,,,,,부산광역시 남구 유엔평화로76번길 1,,,,2016-12-01
"新 風流之樂(신 풍류지악)",익산예술의전당 분관 소공연장,전통예술,2016-12-20,2016-12-20,1900-2000,무료,군산국악관현악단,군산국악관현악단,,,300,,,,,,,,전라북도 익산시 동서로 490,,,,2016-12-01
"이희주 오르간 독주회",청주아트홀,음악,2016-12-20,2016-12-20,1500-2100,무료,청주음악협회,청주예총,,충북문화재단,,,,,,http://,,,충청북도 청주시 서원구 예체로 118-1,,,,2016-12-01
"창극 <아름다운 전설, 백야>",새천년대공연장,전통예술,2016-12-20,2016-12-21,1900-2040,유료,한국문화예술위원회,"전문예술단체 한국창극원, (사)한밭국악회",,,805,,,,,www.changgeuk.com,,,"서울특별시 광진구 화양동, 충주시 충원대로 위치.",,,,2016-12-01
"김남훈 타악기 독주회",제주 설문대 여성문화센터,음악,2016-12-21,2016-12-21,1930-2130,무료,김남훈,김남훈,,,,,,,,,,Y,제주특별자치도 제주시 선덕로8길 12,,,,2016-12-01
"안디무지크 필하모니아 정기연주회",대전예술가의집 누리홀,음악,2016-12-21,2016-12-21,1930-2100,유료,대전문화재단,안디무지크필하모니아,,한국문화예술위원회,180,"전석 20,000원",,,,,,,대전광역시 중구 문화동 1-27,,,,2016-12-01
4원소 - 네 개의 욕망,축제극장몸짓,무용,2016-12-21,2016-12-21,1930-2030,유료,강원문화재단,홍동표댄스프로젝트,,,90,12000원,,,,,,Y,강원도 춘천시 춘천로 112,,,,2016-12-01
"조윤경 네번째 해금독주회 '옛것을 바라보는 시점의 변화. 전환'",국립부산국악원 예지당,전통예술,2016-12-21,2016-12-21,1930-2100,무료,조윤경,조윤경,,,,,,,,,,,부산광역시 부산진구 국악로 2,,,,2016-12-01
"아름다운 거리",북문로1가 25-1 씨어터제이,연극,2016-12-21,2016-12-25,1900-2030,유료,충북문화재단,충북연극협회,,,160,"20,000",,"일반 20,000원 (조기예매시 10,000원), 중고 15,000원 (조기예매시  7,000원), 단체및장애인 10,000원",,http://,,Y,충청북도 청주시 상당구 상당로69번길 12-6,,,,2016-12-01
"필하모닉첼리스트앙상블 정기연주회",우진문화공간,음악,2016-12-21,2016-12-21,-,무료,전라북도문화관광재단,필하모닉첼리스트앙상블,,,,,,,,,,,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
"전해옥의 가야금병창 '사랑방'- 絃 의 놀음",대전무형문화재 전수회관 공연장,전통예술,2016-12-21,2016-12-21,1930-2100,무료,대전문화재단,대전문화재단,,,,,,,,,,,대전광역시 대덕구 동춘당로94번길 50,,,,2016-12-01
"(사)서울윈드앙상블 오작교 프로젝트 운영","KBS홀, 광림아트센터 장천홀",음악,2016-12-21,2017-02-28,2000-2200,유료,한국문화예술위원회,서울윈드앙상블,,,,,,,,http://www.seoulwind.co.kr,,,서울특별시 강남구 논현로163길 33,,,,2016-12-01
"연리지",포항시청대잠홀,무용,2016-12-21,2017-01-31,1900-2000,무료,경상북도,김동은무용단,,사)한국무용협회 경북도지회  포항시지부,590,,,,,,,,경상북도 포항시 남구 시청로 1,,,,2016-12-01
"양로원 탈출기",궁동 예술극장,연극,2016-12-21,2016-12-23,1221-1223,무료,한국문화예술위원회,한국연극협회 광주광역시 지회,,광주 배우협회,100,,,,,www.kjtheater.org,,N,전라남도 광주 동구 예술길 18-1,,,,2016-12-01
"판타스틱 철부지들",소극장 알과핵,연극,2016-12-21,2017-01-01,2000-2130,유료,한국문화예술위원회,극단 76,,한국문화에술위원회,170,,,,,saja65@hanmail.net,,,서울특별시 종로구 동숭길 25 마로니에 유리빌딩,,,,2016-12-01
"오페라 헨젤과 그레텔",분당구 성남대로 808 성남아트센터 앙상블시어터,음악,2016-12-21,2016-12-25,1400-1900,유료,한국문화예술회관연합회,(재)성남문화재단,,,369,"전석25,000원",,,,http://www.snart.or.kr,,Y,경기도 성남시 분당구 성남대로 808,,,,2016-12-01
"유리",대학로예술극장 대극장,무용,2016-12-22,2016-12-23,2000-2100,유료,한국문화예술위원회,황재섭무용단,,,,,,,,,,,서울특별시 종로구 대학로10길 17,,,,2016-12-01
"나루터 2016 - 2016 원로예술인 공연지원사업",전주 창작소극장,연극,2016-12-22,2016-12-24,1930-2100,유료,한국문화예술위원회,한국연극협회 전북지회,,"사)한국예총 전북연합회, 창작소극장, 아사히출판사 외",100,"15,000원",8,,,http://,,N,전라북도 전주시 완산구 동문길 100,,,,2016-12-01
Together to Gather,문화역서울284 RTO,무용,2016-12-22,2016-12-23,2000-2100,유료,한국문화예술위원회,사단법인 트러스트무용단,,,,,,,,www.trustdance.net,,,서울특별시 중구 통일로 1,,,,2016-12-01
"이진 바이올린 독주회",거제문화예술회관 소극장,음악,2016-12-22,2016-12-22,1930-2130,무료,경남문화예술진흥원,이진,,,400,,,,,http://,,Y,경상남도 거제시 장승로 145,,,,2016-12-01
2016 - 흔적,나비 소극장,무용,2016-12-22,2016-12-22,1900-2000,유료,울산광역시,K.A.R dance company,,,,,,,,,,,울산광역시 남구 삼산로 13,,,,2016-12-01
"사물놀이&비보이&국악실내악융복합콘서트 - 오복락락",횡성문화예술회관,전통예술,2016-12-23,2016-12-23,1930-2100,무료,한국문화예술회관연합회,"한국문화예술위원회, 횡성군청",,"기획재정부 복권위원회, 문화체육관광부",,,,,,http://hsg.go.kr,,,강원도 횡성군 횡성읍 문예로 75,,,,2016-12-01
"뮤지컬 스타 콘서트",축제장길 66(안흥동),다원예술,2016-12-23,2016-12-23,1930-2200,유료,한국문화예술회관연합회,"한국문화예술위원회, 안동문화예술의전당",,"기획재정부 복권위원회, 문화체육관광부",994,,,,,http://www.andongart.go.kr,,Y,경상북도 안동시 축제장길 66 안동문화예술의전당,,,,2016-12-01
"오브제 무용극 <스프레이>",미아리고개 예술극장,연극,2016-12-23,2016-12-31,1500-2200,유료,서울문화재단,극단초인,,(주)성림에코산업,120,"30,000",13,"장애인, 학생, 단체 할인",,http://blog.naver.com/chointheatre,,N,서울특별시 성북구 동소문로 177,,,,2016-12-01
10주년 기념 청송 심가 중고제 판소리 복원 및 발표회,서산 박첨지놀이 전수관,전통예술,2016-12-23,2016-12-23,1900-2100,무료,충남문화재단,심화영 중고제 판소리 보존회,,,80,,,,,,,Y,충청남도 서산시 음암면 탑곡 4리,,,,2016-12-01
"우리 땅 우리소리",예주문화예술회관,전통예술,2016-12-23,2016-12-23,1920-2110,유료,한국문화예술회관연합회,"한국문화예술위원회, 영덕군",,"기획재정부 복권위원회, 문화체육관광부",531,10000,,,,http://art.yd.go.kr,,Y,경상북도 영덕군 영해면 318만세길 36,,,,2016-12-01
2016 제주창작합창페스티발,제주대학교 아라뮤즈홀,음악,2016-12-22,2016-12-22,1930-2130,무료,제주문화예술재단,한국합창총연합회 제주특별자치도지회,,,600,,7,,,,,Y,제주특별자치도 제주시 제주대학로 102,,,,2016-12-01
"음악극 '오늘 하루'",국립극장 별오름극장,연극,2016-12-22,2016-12-25,2000-2200,유료,서울문화재단,극단 오징어,,서울메세나협회,100,"25,000원",8,예술인 할인 1만원,예술인 패스 지참,http://www.ntok.go.kr/user/jsp/ua/ua01_1db02v.jsp?pfmc_inf_idx=3304&year=2016&month=12&day=22&,,Y,서울특별시 중구 장충단로 59,,,,2016-12-01
"아해를 품은 달",춘천인형극장,전통예술,2016-12-22,2016-12-22,1900-2030,유료,국악창작그룹 자락,국악창작그룹 자락,,"강원도, 한국문화예술위원회, 강원문화재단",509,"10,000",,,,,,Y,강원도 춘천시 영서로 3017,,,,2016-12-01
"내 고장 칠월은 청포도가 익어가는 시절",안동시 서구동 복지회관 4층 강당,연극,2016-12-22,2016-12-22,1900-2000,무료,극단 꿈꾸는 하늘,극단 꿈꾸는 하늘,,후원 경상북도,100,후불제,,,,,,N,경상북도 안동시 서구동 복지회관 4층 강당,,,,2016-12-01
"국악 공감",온양여자중학교,전통예술,2016-12-22,2016-12-22,1320-1415,무료,충남문화재단,국악예술단 소리樂,,,,,,,,http://,,,충청남도 아산시 온여고길21번길 22,,,,2016-12-01
"원주남성합창단 찾아가는음악회","원주종합사회복지관, 노인요양센터 산고대, (사)포도마을재단 한울타리",음악,2016-12-22,2016-12-22,1300-1930,무료,강원문화재단,원주남성합창단,,,,,,,,www.wmchorale.com,,,강원도 원주시 육판길 1,,,,2016-12-01
"시와 음악이 함께하는 힐링 문학콘서트 - 아름다운 동행",전북 군산시 어린이공연장,음악,2016-12-22,2016-12-22,1900-2100,무료,전라북도문화관광재단,문화예술창작집단울림,,군산문인협회,,,,,,http://,,Y,전라북도 군산시 대학로 330,,,,2016-12-01
"과학하는마음- 숲의심연 편",서강대학교 메리홀,연극,2016-12-22,2016-12-31,1600-2200,유료,서울문화재단,제12언어연극 스튜디,,,,,,,,www.facebook.com/12thTTS,,,서울특별시 마포구 백범로 35,,,,2016-12-01
"줄노리 다섯번째 현대음악 RE+(plus)",올림푸스홀,전통예술,2016-12-22,2016-12-22,0730-0830,유료,서울문화재단,줄노리,,,238,10000,,,,,,Y,서울특별시 강남구 봉은사로 446 올림푸스타워 B1,,,,2016-12-01
"마음으로 여는 우리들의 소중한 음악회(무궁이소년소녀합창단 정기연주회)",홍천문화예술회관 대강당,음악,2016-12-22,2016-12-22,1900-2100,무료,강원문화재단,홍천무궁이소년소녀합창단,,홍천문화예술회관,1000,무료,,,,http://cafe.daum.net/hamony04,,Y,강원도 홍천군 홍천읍 설악로 1792 문화예술회관 대공연장,,,,2016-12-01
"제 8회 설악프라임 오케스트라 정기연주회",속초문화회관 대공연장,음악,2016-12-23,2016-12-23,1930-2100,무료,강원문화재단,설악프라임 오케스트라,,"강원문화재단, 강원도 교육청",400,무료,,,,다음카페 설악프라임 오케스트라,,Y,강원도 속초시 번영로 155,,,,2016-12-01
"제13회 정기연주회 송년음악회",동해문화예술회관대공연장,음악,2016-12-23,2016-12-23,1830-2000,무료,강원문화재단,동해예총,,동해시,600,,,,,kshksh6493@naver.com,,Y,강원도 동해시 평원로 15,,,,2016-12-01
"경상북도 음악으로 여행하다",영곡아트홀,음악,2016-12-23,2016-12-23,1900-2030,무료,경상북도,안동음악학회,,,,,,,,http://,,Y,경상북도 안동시 서동문로 127,,,,2016-12-01
"아름다운 소리로, 아름다운 추억을",천안예술의전당 소공연장,전통예술,2016-12-23,2016-12-23,1930-2030,무료,충남문화재단,청소년국악관현악단 공간,,,,,,,,http://,,,충청남도 천안시 동남구 성남면 종합휴양지로 185,,,,2016-12-01
"헤럴드 필하모닉과 함께하는 날라리 콘서트",세종국악당,음악,2016-12-23,2016-12-23,1930-2110,유료,한국문화예술회관연합회,한국문화예술위원회,,"복권위원회, 문화체육관광부",400,,,,,,,,경기도 여주시 영릉로 125,,,,2016-12-01
"청소년을 위한 음악회",전주 바울센터 2층 공연장,음악,2016-12-23,2016-12-23,1930-2040,무료,전라북도문화관광재단,프로인데성악연구회,,,200,무료,8,"장애우 50프로할인(동반 1인 포함), 학생(초,중,고,대학생) 10,000원, 단체 20인 이상 20프로 할인(30,000->24,000원)",미취학 아동 입장 제한,,,Y,전라북도 전주시 완산구 안행로 130,,,,2016-12-01
"제9회 나무소리클라리넷 정기연주회",한국소리문화의전당 명인홀,음악,2016-12-23,2016-12-23,1930-2100,무료,전라북도문화관광재단,나무소리 클라리넷 앙상?,,,,,,,,,,,전라북도 전주시 덕진구 소리로 31,,,,2016-12-01
"<국가-한국편>",우정국 1층(예정),다원예술,2016-12-23,2016-12-23,2000-2130,유료,서울문화재단,고주영,,,70,10000,15,없음,,ujeongguk.com,별도 서식으로 예약 접수 예정,N,서울특별시 마포구 독막로20길 42,,,,2016-12-01
"'四神이 나르샤...'",전주전통문화관 한벽극장,전통예술,2016-12-23,2016-12-23,1900-2020,무료,문화포럼나니레,전라북도문화관광재단,,,240,,,,,http://cafe.naver.com/nanire,,Y,전라북도 전주시 완산구 전주천동로 20,,,,2016-12-01
"쇼케이스전통연희문화예술공연",상지대학술정보원지하강당(공연장),전통예술,2016-12-23,2016-12-23,1830-1930,무료,원주국제댄스축제집행위,원주국제댄스축제,,강원도.강원문화재단외 협의.,300,,40,,,,,Y,강원도 원주시 남산로 80-2,,,,2016-12-01
Bassoonist 임지윤이 들려주는 '군산의 사계',군산예술의전당,음악,2016-12-23,2016-12-31,0900-2100,무료,전라북도문화관광재단,군산예술의전당,,"전라북도, 한국예술위원회",,,,,,,,Y,전라북도 군산시 백토로 203,,,,2016-12-01
"제2회 마현진 가야금 독주회",대전 아트 브릿지,전통예술,2016-12-23,2016-12-23,1800-1900,무료,마현진,마현진,,대전문화재단  한국문화예술 위원회 목원대학교,,,,,,,,,대전광역시 서구 둔산대로117번길 22 혜지빌딩 3층,,,,2016-12-01
BEAT STREET,전주 우진문화공간 예술극장,무용,2016-12-23,2016-12-24,1900-2000,유료,소울헌터즈,소울헌터즈,,,,,,,,,,,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
THE-CONCERT,상승로91 화천문화예술회관,다원예술,2016-12-23,2016-12-23,1930-2100,무료,한국문화예술회관연합회,문화체육관광부,,,500,무료,,,,,,Y,강원도 화천군 화천읍 상승로 91,,,,2016-12-01
"좌수영마을 도시활력 프로젝트","전라좌수영 진남관,큰샘골 일원",다원예술,2016-12-24,2016-12-24,1000-1700,무료,전라남도문화관광재단,여수매구진흥회,,한국문화예술위원회,,,,,,http://,,Y,전라남도 여수시 돌산읍 우두리 810,,,,2016-12-01
1순위_윤희석과 친구들의 뮤지컬 갈라쇼,남동소래아트홀 소래극장,다원예술,2016-12-24,2016-12-24,1500-1900,유료,한국문화예술회관연합회,남동구도시관리공단,,,695,,,,,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32,,,,2016-12-01
"로기수",백운아트홀,연극,2016-12-24,2016-12-25,1500-2200,유료,한국문화예술회관연합회,"한국문화예술위원회, (재)원주문화재단",,"기획재정부 복권위원회, 문화체육관광부",,,,,,http://wcf.or.kr,,,강원도 원주시 시청로 1,,,,2016-12-01
"제12회 음악협회 송년음악회",동해문화예술회관대공연장,음악,2016-12-24,2016-12-24,1900-2030,무료,동해음악협회,동해예총,,동해시,600,,,,,,,Y,강원도 동해시 한섬로 32,,,,2016-12-01
"보이는 전래음악동화",문화예술회관,다원예술,2016-12-24,2016-12-24,0900-2100,유료,세종특별자치시,나루클래식,,,,,,,,http://,,,세종특별자치시 조치원읍 문예회관길 22,,,,2016-12-01
